,130,130-1,14,179,191,198,203-1,209,210,218,228,235,243,285,289,289-1,290,290-1,290-4,290-5,292,293,295,295-3,309,328,333-1,339,341,342,343,346,349,350,352,354,356,357,359,361,361-1,361-2,361-4,363,364,365,366,367,368,369,369-1,370,371,375,389,391,406,411,424,426,430,431,435
359,6,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,7,0,0,0,3,2,0,0,0,0,0,3,0,0,0,0,0,0,0,3,11,5,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
361,186,0,0,0,5,0,8,0,0,4,0,0,6,14,5,7,0,8,14,5,0,21,5,6,5,0,0,4,7,63,0,0,0,0,0,0,8,52,5,314,109,17,54,0,3,0,8,59,96,49,36,12,0,0,0,6,0,7,3,2,0,0,0
361-1,154,7,5,3,5,0,6,0,0,4,0,0,6,18,16,6,0,15,11,11,0,22,8,5,9,0,2,7,6,68,0,0,0,0,0,0,32,72,3,109,425,27,70,0,3,0,2,49,106,73,45,9,0,0,0,3,0,10,3,4,0,0,0
361-2,24,0,0,0,0,0,3,0,2,0,0,0,3,0,0,7,0,25,0,0,0,4,0,0,0,0,0,5,0,29,0,0,0,0,0,0,9,5,0,17,27,172,26,0,0,0,0,19,28,18,14,10,0,0,0,0,0,0,3,0,0,0,0
361-4,94,2,0,3,0,0,11,0,0,0,0,0,2,12,7,7,0,7,6,9,0,5,2,4,3,4,0,5,7,72,0,0,0,0,0,0,13,22,0,54,70,26,1049,0,5,0,3,54,109,48,34,18,0,0,3,6,5,2,2,2,0,0,0
363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,49,2,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0
364,19,0,0,0,0,3,5,0,0,7,0,0,0,0,3,0,0,0,0,0,0,9,4,2,0,2,0,0,0,80,0,0,0,0,2,0,0,3,3,3,3,0,5,2,269,8,20,0,28,62,0,3,0,0,8,16,0,11,0,0,0,0,0
365,5,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,8,11,4,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0
366,32,0,0,0,0,3,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,15,0,0,0,0,2,0,2,2,0,8,2,0,3,0,20,4,66,16,40,40,0,4,0,0,8,7,0,0,0,0,0,0,0
367,126,2,0,0,0,0,16,0,0,0,0,0,0,2,2,8,0,7,3,0,0,12,2,0,0,0,0,0,5,64,0,0,0,0,0,0,3,9,0,59,49,19,54,0,0,0,16,365,200,91,38,31,0,0,0,10,0,0,0,0,0,0,0
368,314,9,0,2,0,0,24,0,0,0,0,0,0,5,9,7,3,8,5,2,0,23,8,2,6,2,0,18,8,124,2,0,0,0,0,0,7,11,0,96,106,28,109,2,28,0,40,200,1312,434,53,59,0,0,7,59,0,10,0,0,2,2,0
